,RSS,_AktpT308_sf,_FourEBP1pT37_46_sf,_IRS1pS636_639_sf,_PI3K,_PRAS40pT246_sf,_S6KpT389_sf,_TSC2pT1462_sf,_kAktIn,_kAktOut,_kAktPhos_kcat,_kAktPhos_km,_kFourEBP1In,_kFourEBP1Out,_kFourEBP1Phos_kcat,_kFourEBP1Phos_km,_kIRS1ActBasal,_kIRS1Act_kcat,_kIRS1Act_km,_kIRS1In,_kIRS1Out,_kIRS1Out2,_kIRS1Phos_kcat,_kIRS1Phos_km,_kPI3KPhos_kcat,_kPI3KPhos_km,_kPras40In,_kPras40Out,_kPras40Phos_kcat,_kPras40Phos_km,_kS6KIn,_kS6KOut,_kS6KPhos_kcat,_kS6KPhos_km,_kTSC2Dephos,_kTSC2Phos_kcat,_kTSC2Phos_km,_kTSCIn,_kTSCOut,_kmTORC1LysToCyt,_kmTORC1Phos_kcat,_kmTORC1Phos_km,_kmTORC1cytToLys,_kmTORC1cytToLysBasal,_mTORC1cyt
20,0.208231,0.922629,0.996499,0.953077,0.219306,1.00576,0.982928,0.935085,0.0974394,0.10014,1.85587,1.04712,0.286139,1.25795,3.64592,0.06910060000000001,1.50367,1.58503,1.88006,0.108746,0.193157,0.16889,0.283846,0.100001,0.114042,1.67596,1.50786,0.774472,1.52926,1.14568,1.37553,0.0614477,1.27259,1.01905,0.187283,0.16755499999999998,0.01,0.1,0.116757,5.7789,4.5128,0.190737,1.32333,0.372406,0.368521
21,0.20823200000000006,0.922839,0.996422,0.953101,0.21928000000000006,1.00599,0.98289,0.935191,0.0974561,0.100123,1.85585,1.04698,0.286111,1.258,3.64573,0.069102,1.50365,1.58494,1.88096,0.108745,0.193169,0.168877,0.283846,0.1,0.114026,1.67602,1.5076200000000002,0.774342,1.52958,1.14582,1.3751799999999998,0.0614285,1.27253,1.019,0.187268,0.167553,0.01,0.1,0.116754,5.77882,4.51286,0.190733,1.32336,0.372404,0.368526
22,0.208235,0.923037,0.996359,0.953113,0.219254,1.00621,0.982865,0.935297,0.0974717,0.100108,1.85581,1.04685,0.286079,1.25806,3.64554,0.069102,1.5036200000000002,1.58486,1.88186,0.108744,0.193181,0.168863,0.283846,0.1,0.114011,1.67609,1.50738,0.774213,1.52989,1.14594,1.37486,0.0614106,1.27246,1.01894,0.187253,0.167551,0.01,0.1,0.116752,5.7787,4.51291,0.190729,1.32338,0.372401,0.368531
23,0.208238,0.923224,0.996308,0.953137,0.219232,1.00642,0.982853,0.935391,0.0974863,0.100092,1.85574,1.04673,0.28605,1.25811,3.64536,0.069102,1.50361,1.58478,1.88275,0.108741,0.193193,0.168852,0.283846,0.1,0.113997,1.67616,1.50717,0.774083,1.53019,1.14604,1.37454,0.0613939,1.27242,1.01889,0.187238,0.167549,0.01,0.1,0.116749,5.778580000000002,4.51301,0.190725,1.3234,0.372399,0.368536
24,0.208241,0.923399,0.996269,0.953149,0.219212,1.00661,0.982853,0.935474,0.0974999,0.100078,1.85567,1.04661,0.286026,1.25815,3.64522,0.06910060000000001,1.5036,1.58471,1.88352,0.108737,0.193203,0.16884200000000002,0.283849,0.1,0.113984,1.67622,1.50697,0.773964,1.53046,1.14613,1.37425,0.061378599999999985,1.27239,1.01885,0.187226,0.167549,0.01,0.1,0.116748,5.7785,4.51316,0.190721,1.32341,0.372397,0.36854
25,0.208244,0.923563,0.996244,0.953149,0.219195,1.00679,0.982865,0.935545,0.0975124,0.100065,1.85558,1.04651,0.286001,1.25819,3.64508,0.06909910000000001,1.50359,1.58465,1.88429,0.108732,0.193212,0.16883099999999998,0.283852,0.1,0.113972,1.67627,1.50679,0.773844,1.53074,1.14623,1.37396,0.0613645,1.27236,1.0188,0.187213,0.167549,0.01,0.1,0.116746,5.77838,4.51327,0.190717,1.32343,0.372395,0.368545
26,0.208248,0.923715,0.996206,0.953137,0.21918,1.00695,0.98289,0.935604,0.0975238,0.100053,1.85547,1.04641,0.285979,1.25823,3.64499,0.06909910000000001,1.50359,1.5846,1.88493,0.108726,0.193221,0.168823,0.283852,0.1,0.113962,1.67632,1.50663,0.7737350000000001,1.531,1.1463,1.3737,0.0613517,1.27234,1.01876,0.187202,0.167551,0.01,0.1,0.116746,5.7783,4.51337,0.190713,1.32345,0.372393,0.36855
27,0.208252,0.923855,0.99618,0.953125,0.219169,1.00711,0.982916,0.935663,0.0975343,0.100043,1.85536,1.04632,0.285962,1.2582799999999998,3.64489,0.06910060000000001,1.50358,1.58455,1.88557,0.108719,0.193229,0.16881600000000002,0.283852,0.1,0.113953,1.67636,1.50649,0.7736350000000001,1.53124,1.14636,1.37348,0.06134019999999999,1.27234,1.01872,0.187192,0.167553,0.01,0.1,0.116746,5.77822,4.51347,0.190708,1.32346,0.37239,0.368555
28,0.208256,0.923983,0.996142,0.953125,0.219158,1.00725,0.982928,0.935722,0.0975437,0.100034,1.85525,1.04624,0.285947,1.25834,3.6448,0.069102,1.50357,1.5845200000000002,1.88608,0.108713,0.193236,0.16881,0.283852,0.1,0.113944,1.6764,1.5063799999999998,0.7735449999999999,1.53145,1.14641,1.37325,0.0613299,1.27234,1.01869,0.187181,0.16755499999999998,0.010000299999999998,0.1,0.116746,5.7781400000000005,4.51358,0.190704,1.32348,0.372388,0.368559
29,0.20826,0.9241,0.996116,0.953125,0.219149,1.00737,0.982953,0.935769,0.097552,0.100026,1.85516,1.04618,0.285937,1.25839,3.64471,0.069102,1.50356,1.58449,1.88646,0.108707,0.193242,0.168803,0.283852,0.1,0.11393699999999997,1.6764400000000002,1.5062799999999998,0.773466,1.53165,1.14644,1.37306,0.061321,1.27234,1.01866,0.187173,0.16755699999999998,0.0100006,0.1,0.116746,5.77811,4.51363,0.190702,1.3235,0.372386,0.368564
30,0.208264,0.924205,0.996091,0.953125,0.219138,1.00749,0.982991,0.935816,0.0975593,0.100019,1.85507,1.0461200000000002,0.285926,1.25844,3.64461,0.069102,1.50356,1.58447,1.88685,0.1087,0.193247,0.168796,0.283852,0.1,0.113929,1.67648,1.5062,0.773386,1.53183,1.14645,1.3729,0.061312,1.27234,1.01863,0.187164,0.167559,0.0100009,0.1,0.116746,5.77807,4.51368,0.1907,1.32351,0.372384,0.368569
31,0.208269,0.924298,0.996052,0.953125,0.219123,1.00759,0.983016,0.935852,0.0975666,0.100014,1.85496,1.04606,0.28591500000000003,1.2584799999999998,3.64452,0.069102,1.50355,1.58445,1.8871,0.108695,0.19325,0.168791,0.283852,0.1,0.113923,1.67651,1.50614,0.773316,1.53199,1.14645,1.37277,0.0613043,1.27234,1.01861,0.187156,0.167561,0.010001,0.1,0.116746,5.77803,4.513730000000002,0.1907,1.32353,0.372381,0.368574
32,0.208273,0.92438,0.996027,0.953125,0.219112,1.00768,0.983029,0.935875,0.0975729,0.10001,1.85485,1.046,0.285905,1.25852,3.64443,0.0691035,1.50355,1.58443,1.88736,0.10869,0.193253,0.168786,0.283852,0.1,0.113916,1.67654,1.5061,0.773257,1.53212,1.14644,1.37264,0.0612979,1.27234,1.0185799999999998,0.187147,0.16756300000000002,0.0100012,0.1,0.116746,5.77799,4.5137800000000015,0.1907,1.32355,0.372379,0.368578
33,0.208277,0.92445,0.995989,0.953125,0.219104,1.00776,0.983029,0.935899,0.0975781,0.100008,1.85476,1.04595,0.285898,1.25856,3.64433,0.0691049,1.50355,1.5844200000000002,1.88749,0.108686,0.193256,0.168783,0.283852,0.1,0.11391099999999997,1.6765599999999998,1.50604,0.773207,1.53224,1.14644,1.37251,0.0612928,1.27234,1.01856,0.187141,0.16756300000000002,0.0100013,0.1,0.116748,5.77799,4.5138300000000005,0.1907,1.32357,0.372377,0.368583
34,0.20828,0.924508,0.99595,0.953125,0.219098,1.0078200000000002,0.983016,0.935911,0.0975822,0.100004,1.85469,1.04591,0.285894,1.25859,3.64424,0.0691064,1.50355,1.5844200000000002,1.88762,0.108682,0.193259,0.16878,0.283852,0.1,0.113906,1.6765900000000002,1.506,0.773167,1.53234,1.14644,1.37238,0.0612877,1.27234,1.01855,0.187137,0.16756300000000002,0.0100013,0.1,0.116749,5.77799,4.5138300000000005,0.1907,1.32358,0.372377,0.368588
35,0.208282,0.924555,0.995899,0.953125,0.219092,1.00787,0.982991,0.935911,0.0975854,0.100001,1.85465,1.04589,0.285894,1.25861,3.64415,0.0691078,1.50355,1.58441,1.88762,0.10868,0.19326,0.16877799999999998,0.283852,0.1,0.113902,1.67661,1.50598,0.773127,1.53242,1.14642,1.37226,0.06128380000000001,1.27234,1.01853,0.187132,0.16756300000000002,0.0100013,0.1,0.116749,5.77799,4.5138300000000005,0.1907,1.3236,0.372377,0.368588
36,0.208285,0.92459,0.995861,0.953113,0.219089,1.00791,0.982953,0.935899,0.0975875,0.1,1.85458,1.04586,0.285898,1.25864,3.64406,0.06910930000000001,1.50355,1.5844,1.88762,0.108678,0.193262,0.168776,0.283852,0.1,0.113898,1.6766299999999998,1.50598,0.773097,1.5324799999999998,1.14639,1.37216,0.0612813,1.27233,1.01852,0.187128,0.16756300000000002,0.0100013,0.1,0.116749,5.77799,4.5138300000000005,0.1907,1.32362,0.372377,0.368588
37,0.208286,0.924614,0.995836,0.953101,0.219087,1.00794,0.982928,0.935899,0.0975885,0.1,1.85454,1.04584,0.285905,1.25865,3.64401,0.0691108,1.50355,1.5844,1.88749,0.108678,0.193262,0.168776,0.283852,0.1,0.113896,1.67664,1.50598,0.773077,1.53252,1.14638,1.37209,0.06128,1.2723,1.01852,0.187126,0.167561,0.0100013,0.1,0.116749,5.77799,4.5138300000000005,0.190702,1.32362,0.372377,0.368588
38,0.208287,0.924625,0.995823,0.953101,0.219084,1.00795,0.982916,0.935911,0.0975885,0.1,1.85452,1.04583,0.285908,1.25865,3.64401,0.0691108,1.50355,1.5844,1.88736,0.108678,0.193262,0.168776,0.283852,0.1,0.113894,1.67665,1.50598,0.7730670000000001,1.53254,1.14636,1.37206,0.06128,1.27228,1.01851,0.187126,0.167559,0.0100013,0.1,0.116749,5.77799,4.5138300000000005,0.190702,1.32362,0.372377,0.368588
39,0.20829,0.923574,0.995568,0.952618,0.219126,1.0078200000000002,0.983042,0.935911,0.0975155,0.1,1.85196,1.04675,0.285659,1.25922,3.64261,0.0690671,1.50332,1.58405,1.89312,0.108659,0.193314,0.168785,0.283762,0.1,0.113926,1.6761700000000002,1.50549,0.77232,1.53422,1.14689,1.36933,0.06113919999999999,1.27213,1.01807,0.186872,0.167549,0.0100019,0.1,0.116647,5.77818,4.51126,0.190702,1.32375,0.372288,0.368683
40,0.208293,0.922465,0.995249,0.952135,0.219183,1.00763,0.983168,0.935852,0.0974373,0.1,1.84951,1.04772,0.285428,1.25973,3.64145,0.0690306,1.50308,1.58371,1.89824,0.108646,0.193367,0.168801,0.283658,0.1,0.113965,1.67569,1.50489,0.771623,1.5358,1.14735,1.36676,0.0610048,1.27197,1.01764,0.186629,0.167531,0.0100026,0.1,0.116545,5.77838,4.50868,0.190702,1.32388,0.372199,0.368778
41,0.208301,0.921415,0.994993,0.951652,0.21924,1.00737,0.983294,0.935734,0.0973539,0.1,1.84717,1.04869,0.285197,1.26025,3.64029,0.0689942,1.50285,1.58336,1.90336,0.108634,0.193419,0.168818,0.283553,0.1,0.11401,1.6752,1.5042,0.770926,1.53728,1.14788,1.36418,0.0608768,1.2718200000000002,1.01724,0.186396,0.167512,0.0100032,0.1,0.116444,5.778580000000002,4.50611,0.190702,1.324,0.372111,0.368872
42,0.208307,0.920305,0.994738,0.95117,0.219311,1.00705,0.983357,0.935675,0.0972652,0.1,1.84494,1.04961,0.284984,1.26072,3.63913,0.0689578,1.50262,1.58306,1.90784,0.108627,0.193479,0.168835,0.283448,0.1,0.114061,1.67467,1.50351,0.770279,1.53866,1.14849,1.36177,0.0607552,1.27166,1.01684,0.186174,0.167484,0.0100032,0.1,0.116349,5.778980000000002,4.5035300000000005,0.190713,1.32413,0.372022,0.368967
43,0.208313,0.919138,0.994419,0.950687,0.219397,1.0066700000000002,0.983357,0.935557,0.0971818,0.1,1.84283,1.05048,0.284788,1.26118,3.63819,0.0689287,1.50243,1.58275,1.91168,0.108621,0.193532,0.168852,0.283344,0.1,0.114112,1.6741,1.50272,0.7696810000000001,1.53995,1.1491,1.35952,0.06064,1.27151,1.01647,0.185962,0.167465,0.0100026,0.1,0.11626,5.7793800000000015,4.50095,0.190723,1.32425,0.371933,0.369062
44,0.208322,0.918029,0.9941,0.950264,0.219496,1.00622,0.983357,0.935439,0.0970931,0.1,1.84083,1.0513,0.284575,1.26165,3.63726,0.0688995,1.50223,1.58245,1.91552,0.108608,0.193577,0.16886800000000002,0.283254,0.1,0.11417,1.67352,1.50183,0.769134,1.54113,1.14963,1.35743,0.0605312,1.27136,1.01611,0.185761,0.167436,0.0100013,0.1,0.116179,5.77958,4.49838,0.190733,1.32434,0.371855,0.369133
45,0.208334,0.916978,0.993845,0.949842,0.21961,1.00584,0.98342,0.93538,0.0970045,0.1,1.83893,1.05208,0.28438,1.26206,3.636330000000001,0.0688704,1.50208,1.58215,1.91872,0.108595,0.193622,0.16888499999999998,0.28318000000000004,0.1,0.114234,1.6729900000000002,1.50084,0.768636,1.54222,1.15016,1.3555,0.0604288,1.2712,1.01578,0.185571,0.167399,0.0100006,0.1,0.116098,5.7797800000000015,4.4958,0.190744,1.3244200000000002,0.371777,0.369204
46,0.20835,0.915986,0.993654,0.949419,0.219738,1.00546,0.983483,0.935321,0.0969158,0.1,1.83715,1.0528,0.284202,1.2624799999999998,3.63564,0.06884119999999999,1.50192,1.58184,1.92192,0.108582,0.19366,0.168902,0.283105,0.1,0.114304,1.6724599999999998,1.49995,0.768187,1.54331,1.15069,1.3535700000000002,0.0603264,1.27112,1.01546,0.185391,0.167371,0.01,0.1,0.116023,5.78017,4.49348,0.190754,1.32451,0.371689,0.3692760000000001
47,0.208368,0.915051,0.993526,0.949057,0.21988,1.00514,0.983546,0.935203,0.0968324,0.1,1.83548,1.05348,0.284024,1.26284,3.63517,0.06881210000000001,1.50177,1.58158,1.92512,0.108563,0.193697,0.168918,0.28303,0.1,0.114374,1.67193,1.49896,0.7677390000000001,1.54439,1.1513,1.35164,0.0602304,1.27105,1.01515,0.185222,0.16733299999999998,0.01,0.1,0.115955,5.78077,4.4911699999999986,0.190764,1.32459,0.3716,0.369347
48,0.208389,0.914176,0.993335,0.948635,0.220036,1.00482,0.983546,0.935026,0.0967542,0.1,1.83392,1.05411,0.283864,1.2632,3.63471,0.06878300000000001,1.50161,1.58132,1.92768,0.108544,0.193727,0.168935,0.28297,0.1,0.114445,1.6714,1.49798,0.767291,1.54548,1.15198,1.34988,0.0601408,1.2709700000000002,1.0148700000000002,0.185063,0.167286,0.01,0.1,0.115894,5.78117,4.4891,0.190785,1.32463,0.371511,0.369418
49,0.208412,0.913359,0.993207,0.948273,0.220179,1.00456,0.983608,0.93479,0.0966812,0.1,1.83248,1.05474,0.283704,1.26356,3.63424,0.0687538,1.50146,1.58106,1.93024,0.108525,0.193757,0.168952,0.282911,0.1,0.114515,1.67087,1.49699,0.766843,1.54657,1.15274,1.34811,0.0600576,1.27089,1.01461,0.184915,0.167248,0.01,0.1,0.11584,5.7815699999999985,4.48704,0.190816,1.32467,0.371433,0.369489
50,0.208436,0.9126,0.993143,0.94791,0.220335,1.00424,0.983671,0.934613,0.0966134,0.1,1.83114,1.05532,0.283544,1.2639200000000002,3.63401,0.0687247,1.5013,1.58085,1.93216,0.108499,0.19378,0.168969,0.282866,0.1,0.114579,1.67038,1.4961,0.7664449999999999,1.54756,1.1535,1.3465,0.0599808,1.27089,1.01437,0.184777,0.167201,0.01,0.1,0.115792,5.7819699999999985,4.48473,0.190847,1.32476,0.371356,0.36956
51,0.208461,0.911899,0.993016,0.947609,0.220491,1.00399,0.983671,0.934495,0.0965508,0.1,1.82992,1.05585,0.283402,1.26429,3.63401,0.0686956,1.50119,1.58063,1.93344,0.10848,0.193802,0.168985,0.282821,0.1,0.114643,1.6699,1.49531,0.766096,1.54844,1.15418,1.34505,0.0599104,1.27089,1.01414,0.18465,0.16714500000000002,0.01,0.1,0.115745,5.78236,4.48241,0.190878,1.32484,0.371278,0.369631
