Time	[IRS1]	[IRS1a]	[IRS1pS636_639]	[Akt]	[AktpT308]	[TSC2]	[TSC2pT1462]	[PRAS40]	[PRAS40pT246]	[S6K]	[S6KpT389]	[FourEBP1]	[FourEBP1pT37_46]	[_PI3K]	[pPI3K]	[pmTORC1]	[_mTORC1]	Values[Insulin]	Values[AA]	Values[_mTORC1cyt]	Values[mTORC1lys]	Values[_kIRS1In]	Values[_kIRS1Out]	Values[_kIRS1Out2]	Values[_kIRS1ActBasal]	Values[_kIRS1Act_km]	Values[_kIRS1Act_kcat]	Values[kIRS1Inact]	Values[_kIRS1Phos_km]	Values[_kIRS1Phos_kcat]	Values[_kPI3KPhos_km]	Values[_kPI3KPhos_kcat]	Values[kPI3KDephos]	Values[_kAktPhos_km]	Values[_kAktPhos_kcat]	Values[kAktDephos]	Values[_kAktIn]	Values[_kAktOut]	Values[_kTSC2Phos_km]	Values[_kTSC2Phos_kcat]	Values[_kTSC2Dephos]	Values[_kTSCIn]	Values[_kTSCOut]	Values[_kmTORC1PhosBasal]	Values[_kmTORC1Phos_km]	Values[_kmTORC1Phos_vmax]	Values[_kmTORC1Dephos_km]	Values[_kmTORC1Dephos_kcat]	Values[_kPras40In]	Values[_kPras40Out]	Values[_kPras40Phos_km]	Values[_kPras40Phos_kcat]	Values[kPras40Dephos]	Values[_kFourEBP1In]	Values[_kFourEBP1Out]	Values[_kFourEBP1Phos_km]	Values[_kFourEBP1Phos_kcat]	Values[kFourEBP1Dephos]	Values[_kS6KIn]	Values[_kS6KOut]	Values[_kS6KPhos_km]	Values[_kS6KPhos_kcat]	Values[kS6KDephos]	Values[_IRS1pS636_639_sf]	Values[_AktpT308_sf]	Values[_TSC2pT1462_sf]	Values[_PRAS40pT246_sf]	Values[_FourEBP1pT37_46_sf]	Values[_S6KpT389_sf]	Values[IRS1pS636_639_obs]	Values[AktpT308_obs]	Values[TSC2pT1462_obs]	Values[PRAS40pT246_obs]	Values[FourEBP1pT37_46_obs]	Values[S6KpT389_obs]	Values[mTORC1]	Values[TSC]
0.22	6.66165	1.84788	0.0909181	8.19688	0.128178	2.03288	8.03654	8.22243	0.100172	8.20116	0.123146	8.20116	0.123146	9.82238	0.277619	0.358355	0.741645	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0909181	0.128178	8.03654	0.100172	0.123146	0.123146	1	1
0.23	6.54962	1.90306	0.0908191	8.12311	0.130346	2.1013	7.95745	8.15042	0.100322	8.12752	0.125141	8.12752	0.125141	9.80821	0.291794	0.368059	0.731941	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0908191	0.130346	7.95745	0.100322	0.125141	0.125141	1	1
0.24	6.44036	1.95654	0.0907424	8.04998	0.132614	2.16824	7.87916	8.07911	0.100488	8.05455	0.127197	8.05455	0.127197	9.79368	0.306316	0.377614	0.722386	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0907424	0.132614	7.87916	0.100488	0.127197	0.127197	1	1
0.25	6.3338	2.00838	0.0906877	7.97747	0.134983	2.23371	7.80168	8.00848	0.100672	7.98225	0.129314	7.98225	0.129314	9.77883	0.321167	0.387025	0.712975	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0906877	0.134983	7.80168	0.100672	0.129314	0.129314	1	1
0.26	6.22988	2.05861	0.0906552	7.90559	0.137455	2.29774	7.72499	7.93855	0.100875	7.91061	0.131489	7.91061	0.131489	9.76367	0.336328	0.396294	0.703706	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0906552	0.137455	7.72499	0.100875	0.131489	0.131489	1	1
0.27	6.12852	2.10728	0.0906446	7.83431	0.14003	2.36035	7.64909	7.86929	0.101097	7.83963	0.13372	7.83963	0.13372	9.74822	0.351781	0.405424	0.694576	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0906446	0.14003	7.64909	0.101097	0.13372	0.13372	1	1
0.28	6.02966	2.15443	0.090656	7.76365	0.142709	2.42156	7.57397	7.8007	0.101338	7.7693	0.136005	7.7693	0.136005	9.73249	0.367511	0.414417	0.685583	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.090656	0.142709	7.57397	0.101338	0.136005	0.136005	1	1
0.29	5.93325	2.20009	0.0906893	7.69358	0.145493	2.48138	7.49963	7.73277	0.1016	7.69962	0.138343	7.69962	0.138343	9.7165	0.3835	0.423276	0.676724	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0906893	0.145493	7.49963	0.1016	0.138343	0.138343	1	1
0.3	5.8392	2.24432	0.0907444	7.6241	0.148381	2.53985	7.42605	7.66549	0.101883	7.63058	0.14073	7.63058	0.14073	9.70027	0.399732	0.432004	0.667996	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0907444	0.148381	7.42605	0.101883	0.14073	0.14073	1	1
0.31	5.74747	2.28713	0.0908214	7.55521	0.151374	2.59699	7.35323	7.59887	0.102188	7.56218	0.143166	7.56218	0.143166	9.68381	0.416191	0.440604	0.659396	1	1	10	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0908214	0.151374	7.35323	0.102188	0.143166	0.143166	1	1
